"","ID"
"1","P021"
"2","P038"
"3","P051"
"4","P052"
"5","P056"
"6","P059"
"7","P062"
"8","P064"
"9","P065"
"10","P067"
"11","R2013"
"12","R2014"
"13","R2037"
"14","R3002"
"15","R3010"
"16","R3031"
"17","R3032"
"18","R3038"
"19","R3040"
"20","R3041"
"21","R3046"
"22","R3058"
"23","R3059"
"24","R3066"
"25","R3073"
"26","R3074"
"27","R3081"
"28","R3086"
"29","R3094"
"30","R3097"
"31","R3099"
"32","R4012"
"33","R4020"
"34","R4027"
"35","R4045"
"36","R4053"
"37","R4056"
"38","R4060"
"39","R4895"
"40","R4921"
"41","R4934"
"42","R4937"
"43","R5022"
"44","R5023"
"45","R5026"
"46","R5039"
"47","R5040"
"48","R5050"
"49","R5069"
"50","R6025"
"51","R6056"
"52","R6057"
"53","R6077"
